System,TIC_ID,pl_mass,pl_mass_err1,pl_mass_err2,star_mass,star_mass_err1,star_mass_err2,Teff,errup,errdn,lambda,errup.1,errdn.1,Ephemeris_reference
CoRoT-03,TIC 392353449,21.66,1.0,-1.0,1.37,0.09,-0.09,6558,44,44,-37.6,22.3,10.0,2009A+A...506..377T
CoRoT-18,TIC 37168957,3.47,0.38,-0.38,0.95,0.15,-0.15,5440,100,100,-10.0,20.0,20.0,2011A+A...533A.130H
CoRoT-36,TIC 405004589,0.68,0.47,-0.43,1.32,0.09,-0.09,6730,140,140,275.8,11.3,11.3,2022MNRAS.516..636S
GPX-1,TIC 245392284,19.7,1.6,-1.6,1.68,0.1,-0.1,7000,200,200,6.8,1.7,1.7,arXiv:2407.21235
HAT-P-02,TIC 39903405,9.02,0.1,-0.1,1.33,0.03,-0.03,6290,60,60,9.0,10.0,10.0,2012ApJ...757...18A
HAT-P-06,TIC 176899385,1.32,0.3,-0.3,1.79,0.6,-0.6,6570,80,80,165.0,6.0,6.0,2012ApJ...757...18A
HAT-P-09,TIC 371234684,0.749,0.064,-0.063,1.28,0.06,-0.06,6350,150,150,-16.0,8.0,8.0,2011A+A...533A.113M
WASP-107,TIC 429302040,0.096,0.005,-0.005,0.68,0.02,-0.02,4425,70,70,118.0,38.0,19.0,2021AJ....161..119R
HAT-P-13,TIC 20096620,0.851,0.038,-0.038,1.32,0.06,-0.06,5653,90,90,1.9,8.6,8.6,2010ApJ...718..575W
HAT-P-15,TIC 353459965,1.94,0.3,-0.3,1.0,0.23,-0.23,5620,20,20,13.0,6.0,6.0,2022A+A...664A.162M
HATS-38,TIC 168281028,0.074,0.011,-0.011,0.89,0.02,-0.01,5662,80,80,-108.0,11.0,16.0,2024AJ....168..185E
HAT-P-21,TIC 17993892,4.87,1.57,-1.57,1.24,0.6,-0.6,5695,45,45,-0.7,12.5,12.5,2022A+A...664A.162M
HAT-P-23,TIC 305243225,2.09,0.111,-0.111,1.13,0.04,-0.04,5885,72,72,15.0,22.0,22.0,2011A+A...533A.113M
HAT-P-34,TIC 278348461,3.33,0.21,-0.2,1.39,0.05,-0.05,6442,88,88,0.0,14.0,14.0,2012ApJ...757...18A
HAT-P-36,TIC 373693175,1.8482,0.087,-0.087,1.03,0.03,-0.03,5620,40,40,-14.0,18.0,18.0,2015A+A...579A.136M
HAT-P-49,TIC 99224131,2.2,0.59,-0.59,2.22,0.83,-0.83,6820,52,52,-97.7,1.8,1.8,2023A+A...669A..63B
HAT-P-56,TIC 84339983,2.31,0.44,-0.44,1.42,0.33,-0.33,6566,50,50,8.0,2.0,2.0,2016MNRAS.460.3376Z
HAT-P-69,TIC 379929661,3.58,0.58,-0.58,1.65,0.06,-0.03,7724,250,360,21.2,3.6,4.6,2019AJ....158..141Z
HATS-03,TIC 336732616,1.071,0.136,-0.136,1.21,0.04,-0.04,6351,76,76,3.0,25.0,25.0,2014ApJ...792..112A
WASP-156,TIC 270380593,0.13152,0.00912,-0.00912,0.87,0.03,-0.03,4910,61,61,106.0,14.0,14.0,2023A+A...669A..63B
HATS-70,TIC 98545929,12.9,1.8,-1.6,1.78,0.12,-0.12,7930,180,180,8.9,5.6,4.5,2019AJ....157...31Z
HAT-P-11,TIC 28230919,0.084,0.007,-0.007,0.81,0.02,-0.03,4780,50,50,103.0,22.0,18.0,2011PASJ...63S.531H
HD_003167c,TIC 318707987,0.03502,0.00245,-0.00233,0.84,0.05,-0.04,5300,73,73,-98.0,23.0,23.0,2019A+A...631A..28D
HD_017156,TIC 302773669,3.51,0.21,-0.21,1.41,0.12,-0.12,6046,76,72,10.0,5.1,5.1,2009PASJ...61..991N
