Title: The Aligned Orbit of WASP-148b, the Only Known Hot Jupiter with a Nearby
       Warm Jupiter Companion, from NEID and HIRES 
Authors: Wang, X.-Y., Rice, M., Wang, S., Pu, B., Stefánsson, G., Mahadevan, S.,
         Radzon, B., Giacalone, S., Wu, Z.-Y., Esposito, T. M., Dalba, P. A.,
         Avsar, A., Holden, B., Skiff, B., Polakis, T., Voeller, K., Logsdon, S. E.,
         Klusmeyer, J., Schweiker, H., Wu, D.-H., Beard, C., Dai, F., Lubin, J.,
         Weiss, L. M., Bender, C. F., Blake, C. H., Dressing, C. D., Halverson, S.,
         Hearty, F., Howard, A. W., Huber, D., Isaacson, H., Jackman, J. A. G.,
         Llama, J., McElwain, M. W., Rajagopal, J., Roy, A., Robertson, P.,
         Schwab, C., Shkolnik, E. L., Wright, J., & Laughlin, G. 
Figure: Photometric transit observations of WASP-148
================================================================================
Byte-by-byte Description of file: wasp148lcmrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 14 F14.6  d       BJD     Barcentric Julian Date; TBD
  16- 22 F6.5   m/s     NFlux   Normalized flux
  24- 30 F6.5   m/s   e_NFlux   Uncertainty in NFlux
  32- 44 A13    ---     Inst    Instrument used
--------------------------------------------------------------------------------
2459374.67003  1.0028  0.0028  42-inch Hall 
2459374.67063  0.9972  0.0028  42-inch Hall 
2459374.67097  1.0022  0.0028  42-inch Hall 
2459374.67130  1.0002  0.0028  42-inch Hall 
2459374.67164  0.9982  0.0028  42-inch Hall 
2459374.67198  1.0011  0.0028  42-inch Hall 
2459374.67232  0.9981  0.0028  42-inch Hall 
2459374.67265  0.9978  0.0028  42-inch Hall 
2459374.67299  1.0025  0.0028  42-inch Hall 
2459374.67333  1.0015  0.0028  42-inch Hall 
2459374.67366  0.9976  0.0028  42-inch Hall 
2459374.67400  0.9964  0.0028  42-inch Hall 
2459374.67434  1.0012  0.0028  42-inch Hall 
2459374.67468  0.9992  0.0028  42-inch Hall 
2459374.67501  1.0030  0.0028  42-inch Hall 
2459374.67535  0.9981  0.0028  42-inch Hall 
2459374.67568  1.0028  0.0028  42-inch Hall 
2459374.67602  1.0009  0.0028  42-inch Hall 
2459374.67636  0.9956  0.0028  42-inch Hall 
2459374.67669  1.0000  0.0028  42-inch Hall 
2459374.67703  0.9998  0.0028  42-inch Hall 
2459374.67737  1.0018  0.0028  42-inch Hall 
2459374.67770  1.0035  0.0028  42-inch Hall 
2459374.67804  1.0008  0.0028  42-inch Hall 
2459374.67837  1.0044  0.0028  42-inch Hall 
2459374.67871  0.9958  0.0028  42-inch Hall 
2459374.67904  1.0004  0.0028  42-inch Hall 
2459374.67938  1.0003  0.0028  42-inch Hall 
2459374.67971  0.9951  0.0028  42-inch Hall 
2459374.68005  1.0011  0.0028  42-inch Hall 
2459374.68038  1.0018  0.0028  42-inch Hall 
2459374.68072  1.0003  0.0028  42-inch Hall 
2459374.68106  0.9994  0.0028  42-inch Hall 
2459374.68140  1.0033  0.0028  42-inch Hall 
2459374.68174  1.0007  0.0028  42-inch Hall 
2459374.68207  1.0038  0.0028  42-inch Hall 
2459374.68241  0.9999  0.0028  42-inch Hall 
2459374.68275  1.0004  0.0028  42-inch Hall 
2459374.68308  0.9971  0.0027  42-inch Hall 
2459374.68342  0.9963  0.0027  42-inch Hall 
2459374.68376  1.0012  0.0028  42-inch Hall 
2459374.68410  0.9981  0.0028  42-inch Hall 
2459374.68444  1.0001  0.0028  42-inch Hall 
2459374.68477  1.0006  0.0028  42-inch Hall 
2459374.68511  1.0011  0.0028  42-inch Hall 
2459374.68545  1.0013  0.0028  42-inch Hall 
2459374.68579  0.9993  0.0028  42-inch Hall 
2459374.68612  0.9953  0.0027  42-inch Hall 
2459374.68646  1.0002  0.0028  42-inch Hall 
2459374.68680  1.0014  0.0028  42-inch Hall 
2459374.68713  0.9958  0.0027  42-inch Hall 
2459374.68747  1.0012  0.0028  42-inch Hall 
2459374.68781  1.0014  0.0028  42-inch Hall 
2459374.68814  0.9986  0.0028  42-inch Hall 
2459374.68848  1.0016  0.0028  42-inch Hall 
2459374.68881  0.9999  0.0028  42-inch Hall 
2459374.68915  1.0015  0.0028  42-inch Hall 
2459374.68948  1.0009  0.0028  42-inch Hall 
2459374.68982  0.9984  0.0027  42-inch Hall 
2459374.69015  0.9984  0.0028  42-inch Hall 
2459374.69049  1.0006  0.0027  42-inch Hall 
2459374.69082  0.9995  0.0028  42-inch Hall 
2459374.69116  1.0037  0.0028  42-inch Hall 
2459374.69150  1.0033  0.0028  42-inch Hall 
2459374.69183  1.0012  0.0028  42-inch Hall 
2459374.69217  0.9966  0.0028  42-inch Hall 
2459374.69250  1.0008  0.0028  42-inch Hall 
2459374.69284  0.9981  0.0028  42-inch Hall 
2459374.69318  1.0003  0.0028  42-inch Hall 
2459374.69352  1.0026  0.0028  42-inch Hall 
2459374.69386  1.0030  0.0027  42-inch Hall 
2459374.69419  0.9987  0.0027  42-inch Hall 
2459374.69453  1.0015  0.0028  42-inch Hall 
2459374.69486  1.0015  0.0028  42-inch Hall 
2459374.69520  0.9965  0.0027  42-inch Hall 
2459374.69554  0.9992  0.0028  42-inch Hall 
2459374.69588  0.9976  0.0027  42-inch Hall 
2459374.69621  0.9977  0.0027  42-inch Hall 
2459374.69655  1.0014  0.0027  42-inch Hall 
2459374.69689  1.0004  0.0027  42-inch Hall 
2459374.69723  1.0000  0.0028  42-inch Hall 
2459374.69756  1.0016  0.0028  42-inch Hall 
2459374.69790  1.0005  0.0029  42-inch Hall 
2459374.69823  0.9925  0.0031  42-inch Hall 
2459374.69857  0.9993  0.0032  42-inch Hall 
2459374.69890  1.0013  0.0028  42-inch Hall 
2459374.69924  0.9997  0.0027  42-inch Hall 
2459374.69958  0.9995  0.0027  42-inch Hall 
2459374.69991  0.9981  0.0027  42-inch Hall 
2459374.70025  0.9987  0.0029  42-inch Hall 
2459374.70058  1.0046  0.0028  42-inch Hall 
2459374.70092  0.9981  0.0027  42-inch Hall 
2459374.70125  0.9993  0.0027  42-inch Hall 
2459374.70159  1.0013  0.0027  42-inch Hall 
2459374.70192  0.9983  0.0027  42-inch Hall 
2459374.70226  0.9986  0.0027  42-inch Hall 
2459374.70260  0.9958  0.0027  42-inch Hall 
2459374.70294  1.0010  0.0027  42-inch Hall 
2459374.70327  1.0057  0.0027  42-inch Hall 
2459374.70361  1.0028  0.0027  42-inch Hall 
2459374.70395  1.0010  0.0027  42-inch Hall 
2459374.70429  0.9995  0.0027  42-inch Hall 
2459374.70462  1.0012  0.0027  42-inch Hall 
2459374.70497  0.9968  0.0027  42-inch Hall 
2459374.70530  0.9979  0.0027  42-inch Hall 
2459374.70564  0.9992  0.0027  42-inch Hall 
2459374.70598  0.9970  0.0027  42-inch Hall 
2459374.70631  1.0012  0.0027  42-inch Hall 
2459374.70665  1.0029  0.0027  42-inch Hall 
2459374.70699  0.9996  0.0027  42-inch Hall 
2459374.70733  1.0025  0.0027  42-inch Hall 
2459374.70766  1.0014  0.0027  42-inch Hall 
2459374.70801  1.0007  0.0027  42-inch Hall 
2459374.70834  1.0004  0.0027  42-inch Hall 
2459374.70868  1.0007  0.0027  42-inch Hall 
2459374.70902  0.9984  0.0027  42-inch Hall 
2459374.70935  0.9984  0.0027  42-inch Hall 
2459374.70969  1.0016  0.0027  42-inch Hall 
2459374.71002  1.0024  0.0027  42-inch Hall 
2459374.71036  1.0011  0.0027  42-inch Hall 
2459374.71070  1.0026  0.0027  42-inch Hall 
2459374.71107  0.9987  0.0027  42-inch Hall 
2459374.71140  0.9990  0.0027  42-inch Hall 
2459374.71174  1.0014  0.0027  42-inch Hall 
2459374.71208  1.0014  0.0027  42-inch Hall 
2459374.71241  1.0011  0.0027  42-inch Hall 
2459374.71275  1.0016  0.0027  42-inch Hall 
2459374.71308  1.0009  0.0027  42-inch Hall 
2459374.71342  0.9958  0.0027  42-inch Hall 
2459374.71375  1.0052  0.0027  42-inch Hall 
2459374.71409  1.0021  0.0027  42-inch Hall 
2459374.71443  0.9992  0.0027  42-inch Hall 
2459374.71477  0.9993  0.0027  42-inch Hall 
2459374.71511  0.9992  0.0027  42-inch Hall 
2459374.71544  0.9982  0.0027  42-inch Hall 
2459374.71578  1.0007  0.0027  42-inch Hall 
2459374.71612  0.9997  0.0027  42-inch Hall 
2459374.71646  1.0059  0.0027  42-inch Hall 
2459374.71680  1.0030  0.0027  42-inch Hall 
2459374.71713  1.0003  0.0027  42-inch Hall 
2459374.71747  0.9985  0.0027  42-inch Hall 
2459374.71781  1.0004  0.0027  42-inch Hall 
2459374.71814  1.0017  0.0027  42-inch Hall 
2459374.71848  0.9996  0.0027  42-inch Hall 
2459374.71882  1.0017  0.0027  42-inch Hall 
2459374.71916  1.0028  0.0027  42-inch Hall 
2459374.71949  1.0012  0.0027  42-inch Hall 
2459374.71983  1.0010  0.0027  42-inch Hall 
2459374.72017  0.9989  0.0027  42-inch Hall 
2459374.72050  0.9973  0.0027  42-inch Hall 
2459374.72084  0.9979  0.0027  42-inch Hall 
2459374.72117  1.0019  0.0027  42-inch Hall 
2459374.72151  1.0015  0.0027  42-inch Hall 
2459374.72185  1.0048  0.0027  42-inch Hall 
2459374.72218  1.0001  0.0027  42-inch Hall 
2459374.72252  1.0027  0.0027  42-inch Hall 
2459374.72286  0.9985  0.0027  42-inch Hall 
2459374.72319  0.9960  0.0027  42-inch Hall 
2459374.72353  1.0014  0.0027  42-inch Hall 
2459374.72387  1.0021  0.0027  42-inch Hall 
2459374.72420  0.9991  0.0027  42-inch Hall 
2459374.72454  1.0014  0.0027  42-inch Hall 
2459374.72487  1.0024  0.0027  42-inch Hall 
2459374.72521  1.0006  0.0027  42-inch Hall 
2459374.72555  0.9978  0.0027  42-inch Hall 
2459374.72588  0.9973  0.0027  42-inch Hall 
2459374.72622  0.9998  0.0027  42-inch Hall 
2459374.72656  1.0017  0.0027  42-inch Hall 
2459374.72690  1.0026  0.0027  42-inch Hall 
2459374.72724  0.9973  0.0027  42-inch Hall 
2459374.72757  1.0006  0.0027  42-inch Hall 
2459374.72791  1.0029  0.0027  42-inch Hall 
2459374.72825  1.0012  0.0027  42-inch Hall 
2459374.72859  1.0012  0.0027  42-inch Hall 
2459374.72893  1.0019  0.0028  42-inch Hall 
2459374.72926  1.0016  0.0027  42-inch Hall 
2459374.72960  1.0016  0.0027  42-inch Hall 
2459374.72994  0.9999  0.0027  42-inch Hall 
2459374.73027  1.0026  0.0027  42-inch Hall 
2459374.73061  1.0010  0.0027  42-inch Hall 
2459374.73095  1.0001  0.0027  42-inch Hall 
2459374.73128  1.0011  0.0027  42-inch Hall 
2459374.73162  0.9994  0.0027  42-inch Hall 
2459374.73195  1.0006  0.0027  42-inch Hall 
2459374.73229  1.0003  0.0027  42-inch Hall 
2459374.73263  1.0008  0.0028  42-inch Hall 
2459374.73296  1.0001  0.0028  42-inch Hall 
2459374.73330  0.9972  0.0028  42-inch Hall 
2459374.73364  0.9990  0.0027  42-inch Hall 
2459374.73397  1.0000  0.0027  42-inch Hall 
2459374.73431  0.9984  0.0027  42-inch Hall 
2459374.73464  0.9997  0.0027  42-inch Hall 
2459374.73498  1.0003  0.0027  42-inch Hall 
2459374.73531  0.9971  0.0027  42-inch Hall 
2459374.73565  1.0018  0.0027  42-inch Hall 
2459374.73599  1.0014  0.0027  42-inch Hall 
2459374.73632  0.9997  0.0027  42-inch Hall 
2459374.73666  0.9998  0.0027  42-inch Hall 
2459374.73700  1.0029  0.0027  42-inch Hall 
2459374.73733  0.9972  0.0027  42-inch Hall 
2459374.73767  0.9995  0.0027  42-inch Hall 
2459374.73801  0.9996  0.0027  42-inch Hall 
2459374.73834  0.9993  0.0027  42-inch Hall 
2459374.73868  0.9987  0.0027  42-inch Hall 
2459374.73902  0.9988  0.0027  42-inch Hall 
2459374.73936  0.9990  0.0027  42-inch Hall 
2459374.73970  0.9980  0.0027  42-inch Hall 
2459374.74004  1.0011  0.0027  42-inch Hall 
2459374.74037  0.9990  0.0027  42-inch Hall 
2459374.74071  0.9968  0.0027  42-inch Hall 
2459374.74105  0.9987  0.0027  42-inch Hall 
2459374.74139  0.9985  0.0027  42-inch Hall 
2459374.74172  0.9991  0.0027  42-inch Hall 
2459374.74206  1.0003  0.0027  42-inch Hall 
2459374.74240  0.9956  0.0027  42-inch Hall 
2459374.74274  1.0005  0.0027  42-inch Hall 
2459374.74307  1.0004  0.0027  42-inch Hall 
2459374.74341  0.9962  0.0027  42-inch Hall 
2459374.74375  1.0014  0.0027  42-inch Hall 
2459374.74408  0.9994  0.0027  42-inch Hall 
2459374.74442  1.0003  0.0027  42-inch Hall 
2459374.74475  0.9987  0.0028  42-inch Hall 
2459374.74509  0.9972  0.0027  42-inch Hall 
2459374.74543  0.9984  0.0027  42-inch Hall 
2459374.74576  0.9999  0.0027  42-inch Hall 
2459374.74610  0.9919  0.0031  42-inch Hall 
2459374.74644  1.0044  0.0032  42-inch Hall 
2459374.74677  0.9902  0.0038  42-inch Hall 
2459374.74711  0.9991  0.0042  42-inch Hall 
2459374.74744  1.0065  0.0035  42-inch Hall 
2459374.74778  1.0030  0.0032  42-inch Hall 
2459374.74812  1.0044  0.0030  42-inch Hall 
2459374.74845  1.0026  0.0028  42-inch Hall 
2459374.74879  0.9985  0.0027  42-inch Hall 
2459374.74912  0.9980  0.0027  42-inch Hall 
2459374.74946  0.9995  0.0027  42-inch Hall 
2459374.74980  0.9964  0.0028  42-inch Hall 
2459374.75013  1.0001  0.0029  42-inch Hall 
2459374.75047  0.9949  0.0028  42-inch Hall 
2459374.75080  1.0014  0.0027  42-inch Hall 
2459374.75114  1.0019  0.0027  42-inch Hall 
2459374.75157  1.0003  0.0027  42-inch Hall 
2459374.75191  0.9966  0.0027  42-inch Hall 
2459374.75225  0.9982  0.0027  42-inch Hall 
2459374.75258  1.0019  0.0027  42-inch Hall 
2459374.75292  1.0051  0.0027  42-inch Hall 
2459374.75325  1.0011  0.0027  42-inch Hall 
2459374.75359  0.9996  0.0027  42-inch Hall 
2459374.75393  1.0014  0.0027  42-inch Hall 
2459374.75427  0.9994  0.0027  42-inch Hall 
2459374.75460  0.9999  0.0027  42-inch Hall 
2459374.75494  0.9971  0.0027  42-inch Hall 
2459374.75528  0.9972  0.0027  42-inch Hall 
2459374.75562  1.0009  0.0027  42-inch Hall 
2459374.75595  0.9981  0.0027  42-inch Hall 
2459374.75629  1.0024  0.0027  42-inch Hall 
2459374.75663  1.0030  0.0027  42-inch Hall 
2459374.75696  1.0001  0.0027  42-inch Hall 
2459374.75730  0.9989  0.0027  42-inch Hall 
2459374.75764  1.0023  0.0027  42-inch Hall 
2459374.75797  1.0013  0.0027  42-inch Hall 
2459374.75831  0.9981  0.0027  42-inch Hall 
2459374.75865  1.0023  0.0027  42-inch Hall 
2459374.75898  1.0002  0.0027  42-inch Hall 
2459374.75932  1.0016  0.0027  42-inch Hall 
2459374.75965  0.9969  0.0027  42-inch Hall 
2459374.75999  0.9995  0.0027  42-inch Hall 
2459374.76033  1.0039  0.0027  42-inch Hall 
