Timing (BJD_TDB),Timing error,Duration (hr),Duration upper error,Duration lower error,Source
2456883.4442,0.0010,-,-,-,"*NITES, Hebrard2020"
2457191.5555,0.0010,-,-,-,"*SANCHEZ, Hebrard2020"
2457552.5042,0.0010,-,-,-,"*NITES, Hebrard2020"
2457860.6550,0.0012,-,-,-,"*MARS, Hebrard2020"
2457957.4820,0.0004,-,-,-,"*RISE, Hebrard2020"
2458961.1241,0.0012,3.619,0.138,0.153,"TESS Sector 24, TESS-SPOC"
2458969.9255,0.0013,3.064,0.055,0.048,"TESS Sector 24, TESS-SPOC"
2458978.7344,0.0010,3.011,0.082,0.065,"TESS Sector 24, TESS-SPOC"
2458987.5412,0.0013,3.062,0.126,0.087,"TESS Sector 25, TESS-SPOC"
2459005.1516,0.0012,3.155,0.126,0.112,"TESS Sector 26, TESS-SPOC"
2459013.9578,0.0018,3.147,0.197,0.145,"TESS Sector 26, TESS-SPOC"
2459031.5684,0.0013,3.248,0.160,0.147,"TESS Sector 26, TESS-SPOC"
2459040.3723,0.0017,3.124,0.040,0.038,"OSN, Maciejewski2020"
2459084.3974,0.0008,3.162,0.050,0.047,"OSN, Maciejewski2020"
2459295.6586,0.0005,-,-,-,"*OSN, Almenara2022"
2459392.5100,0.0004,-,-,-,"*OSN, Almenara2022"
2459374.9017,0.0008,3.169,0.041,0.039,"Hall, Nickel; Planewave, WangX2022"
2459700.6396,0.0011,2.974,0.072,0.072,"TESS Sector 51, SPOC"
2459709.4431,0.0014,3.047,0.096,0.090,"TESS Sector 51, SPOC"
2459727.0451,0.0013,3.202,0.097,0.095,"TESS Sector 52, SPOC"
2459735.8516,0.0011,2.992,0.058,0.057,"TESS Sector 52, SPOC"
2460440.1813,0.0013,3.019,0.091,0.089,"TESS Sector 78, SPOC"
2460448.9889,0.0012,2.947,0.057,0.051,"TESS Sector 78, SPOC"
2460457.7900,0.0012,2.989,0.076,0.070,"TESS Sector 79, SPOC"
2460466.5913,0.0010,2.863,0.056,0.052,"TESS Sector 79, SPOC"
2460475.3923,0.0014,2.917,0.104,0.098,"TESS Sector 79, SPOC"
