#Time(BJD_TDB),RV(km/s),RVerr(km/s),Targets
2460213.6365900,0.0548800,0.0024100,TOI-559
2460213.6549500,0.0542700,0.0021900,TOI-559
2460213.6724100,0.0562700,0.0023200,TOI-559
2460213.6907300,0.0579700,0.0022900,TOI-559
2460213.7092200,0.0460600,0.0022600,TOI-559
2460213.7264100,0.0317500,0.0021200,TOI-559
2460213.7434800,0.0236300,0.0021000,TOI-559
2460213.7623600,0.0000000,0.0021400,TOI-559
2460213.7802900,-0.0062700,0.0020800,TOI-559
2460213.7971200,-0.0205800,0.0023200,TOI-559
2460213.8154100,-0.0362600,0.0022100,TOI-559
2460213.8333300,-0.0407600,0.0022700,TOI-559
2460213.8520100,-0.0432700,0.0022400,TOI-559
2460213.8689600,-0.0491000,0.0023300,TOI-559
2460213.8821900,-0.0567800,0.0043400,TOI-559
2460109.7012706,1.1659000,0.0081000,TOI-2025
2460109.7149415,1.1465000,0.0069000,TOI-2025
2460109.7304669,1.1325000,0.0068000,TOI-2025
2460109.7435777,1.1382000,0.0067000,TOI-2025
2460109.7575543,1.1266000,0.0070000,TOI-2025
2460109.7705830,1.1196000,0.0057000,TOI-2025
2460109.7864749,1.1104000,0.0061000,TOI-2025
2460109.7998379,1.1020000,0.0057000,TOI-2025
2460109.8128861,1.0875000,0.0065000,TOI-2025
2460109.8253535,1.0663000,0.0076000,TOI-2025
2460109.8424397,1.0413000,0.0083000,TOI-2025
2460109.8556927,1.0312000,0.0075000,TOI-2025
2460109.8691888,1.0242000,0.0070000,TOI-2025
2460109.8846424,1.0012000,0.0065000,TOI-2025
2460109.8981143,1.0094000,0.0065000,TOI-2025
2460109.9112358,1.0071000,0.0070000,TOI-2025
2460109.9270466,0.9850000,0.0061000,TOI-2025
2460109.9403535,0.9684000,0.0060000,TOI-2025
2460109.9537444,0.9574000,0.0065000,TOI-2025
2460109.9674529,0.9416000,0.0063000,TOI-2025
2460234.5834407,-14.8513000,0.0102000,TOI-2031
2460234.5988359,-14.8653000,0.0095000,TOI-2031
2460234.6136787,-14.8651000,0.0091000,TOI-2031
2460234.6361234,-14.8025000,0.0107000,TOI-2031
2460234.6501558,-14.8369000,0.0109000,TOI-2031
2460234.6653549,-14.8048000,0.0108000,TOI-2031
2460234.6810307,-14.8555000,0.0118000,TOI-2031
2460234.6966035,-14.8790000,0.0116000,TOI-2031
2460234.7113017,-14.8953000,0.0103000,TOI-2031
2460234.7321657,-14.9267000,0.0125000,TOI-2031
2460234.7482604,-14.9277000,0.0118000,TOI-2031
2460234.7662734,-14.8984000,0.0082000,TOI-2031
2460234.7849879,-14.8720000,0.0086000,TOI-2031
2460234.7995478,-14.8720000,0.0086000,TOI-2031
2460234.8147866,-14.8779000,0.0084000,TOI-2031
2460234.8306607,-14.8847000,0.0087000,TOI-2031
2460040.6428400,-26.7444000,0.0071000,TOI-2485
2460040.6631183,-26.7528000,0.0046000,TOI-2485
2460040.6840785,-26.7441000,0.0037000,TOI-2485
2460040.7047325,-26.7463000,0.0033000,TOI-2485
2460040.7253776,-26.7445000,0.0033000,TOI-2485
2460040.7470903,-26.7513000,0.0034000,TOI-2485
2460040.7771120,-26.7594000,0.0030000,TOI-2485
2460040.7995916,-26.7653000,0.0029000,TOI-2485
2460040.8190983,-26.7727000,0.0027000,TOI-2485
2460040.8407587,-26.7807000,0.0030000,TOI-2485
2460040.8619384,-26.7856000,0.0026000,TOI-2485
2460040.8826267,-26.7925000,0.0027000,TOI-2485
2460040.9039248,-26.7934000,0.0030000,TOI-2485
2460040.9236992,-26.7843000,0.0036000,TOI-2485
2460040.9460896,-26.7842000,0.0039000,TOI-2485
2460040.9672057,-26.7917000,0.0041000,TOI-2485
2460389.6195359,9.3416000,0.0095000,TOI-2524
2460389.6333423,9.3497000,0.0084000,TOI-2524
2460389.6468311,9.3632000,0.0071000,TOI-2524
2460389.6615163,9.3606000,0.0068000,TOI-2524
2460389.6787819,9.3681000,0.0079000,TOI-2524
2460389.6906350,9.3703000,0.0071000,TOI-2524
2460389.7068543,9.3587000,0.0085000,TOI-2524
2460389.7215598,9.3460000,0.0085000,TOI-2524
2460389.7373300,9.3456000,0.0065000,TOI-2524
2460389.7515810,9.3363000,0.0083000,TOI-2524
2460389.7657305,9.3399000,0.0069000,TOI-2524
2460389.7798560,9.3223000,0.0065000,TOI-2524
2460389.7953625,9.3521000,0.0060000,TOI-2524
2460389.8097627,9.3596000,0.0065000,TOI-2524
2460389.8240112,9.3466000,0.0075000,TOI-2524
2460389.8378226,9.3347000,0.0086000,TOI-2524
2460389.8542327,9.3514000,0.0136000,TOI-2524
2459934.6442723,9.5581000,0.0021000,TOI-3972
2459934.6559974,9.5587000,0.0022000,TOI-3972
2459934.6681370,9.5520000,0.0024000,TOI-3972
2459934.6801519,9.5453000,0.0025000,TOI-3972
2459934.6917015,9.5462000,0.0023000,TOI-3972
2459934.7041257,9.5477000,0.0023000,TOI-3972
2459934.7156446,9.5431000,0.0022000,TOI-3972
2459934.7275759,9.5443000,0.0022000,TOI-3972
2459934.7391749,9.5416000,0.0023000,TOI-3972
2459934.7508362,9.5383000,0.0026000,TOI-3972
