System,pl_letters,tic_id,planet_type,star_type,Teff,errup,errdn,lambda_,errup.1,errdn.1,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2
CoRoT-18,b,TIC 37168957,HotJuipter,CoolStar,5440,100,100,-10,20,20,6.35,0.4,-0.4,3.47,0.38,-0.38
HAT-P-02,b,TIC 39903405,HotJuipter,HotStar,6290,60,60,0.2,12.2,12.5,10.28,0.12,-0.19,9.02,0.1,-0.1
HAT-P-06,b,TIC 176899385,HotJuipter,HotStar,6570,80,80,165,6,6,7.73,0.34,-0.34,1.32,0.3,-0.3
HAT-P-09,b,TIC 371234684,HotJuipter,HotStar,6350,150,150,-16,8,8,8.5,0.34,-0.35,0.749,0.064,-0.063
HAT-P-13,b,TIC 20096620,HotJuipter,CoolStar,5653,90,90,1.9,8.6,8.6,5.35503374,,,0.851,0.038,-0.038
HAT-P-15,b,TIC 353459965,WarmJuipter,CoolStar,5620,20,20,13,6,6,19.25,0.77,-0.77,1.94,0.3,-0.3
HAT-P-21,b,TIC 17993892,HotJuipter,CoolStar,5695,45,45,-0.7,12.5,12.5,9.65,0.74,-0.74,4.87,1.57,-1.57
HAT-P-23,b,TIC 305243225,HotJuipter,CoolStar,5885,72,72,15,22,22,4.14,0.23,-0.23,2.09,0.111,-0.111
HAT-P-34,b,TIC 278348461,HotJuipter,HotStar,6442,88,88,0,14,14,9.86,0.11,-0.2,3.33,0.21,-0.2
HAT-P-36,b,TIC 373693175,HotJuipter,CoolStar,5620,40,40,-14,18,18,4.95,0.042,-0.042,1.8482,0.087,-0.087
HAT-P-49,b,TIC 99224131,HotJuipter,HotStar,6820,52,52,-97.7,1.8,1.8,5.15,0.31,-0.31,2.2,0.59,-0.59
HAT-P-56,b,TIC 84339983,HotJuipter,HotStar,6566,50,50,8,2,2,6.37,0.11,-0.11,2.31,0.44,-0.44
HATS-03,b,TIC 336732616,HotJuipter,HotStar,6351,76,76,3,25,25,7.42,0.12,-0.12,1.071,0.136,-0.136
HD_017156,b,TIC 302773669,WarmJuipter,CoolStar,6046,76,72,10,5.1,5.1,23.34,0.43,-0.43,3.51,0.21,-0.21
HD_149026,b,TIC 255930614,HotJuipter,HotStar,6147,50,50,12,7,7,6.8,0.52,-0.52,0.38,0.06,-0.06
HD_209458,b,TIC 420814525,HotJuipter,HotStar,6117,50,50,1.58,0.08,0.08,8.505515603,,,0.73,0.04,-0.04
K2-033,b,TIC 49040478,HotJuipter,CoolStar,3540,70,70,-10,22,24,10.4,0.27,-0.5,3.7,,0.1
K2-034,b,TIC 178217113,HotJuipter,HotStar,6131,47,47,-1,10,9,6.68,0.1,-0.1,1.698,0.061,-0.05
