# System          : planet name (NASA Exoplanet Archive convention)
# q               : planet-to-star mass ratio, M_p/M_star
# q_errup/errdn   : q uncertainty (planet-mass and stellar-mass errors propagated)
# af_Rp           : eccentricity-corrected separation a(1-e^2)/R_p, applied to all
#                   systems using the catalog eccentricity (missing e treated as 0)
# af_Rp_errup/errdn : af_Rp uncertainty (R_p, M_star, P errors propagated, scaled by 1-e^2)
# abs_lambda_deg  : sky-projected obliquity |lambda|, normalized to [0, 180] deg
# lambda_errup/errdn : |lambda| uncertainty (swapped when reflected into [0, 180])
# Teff_K          : host-star effective temperature [K]
# Teff_errup/errdn : Teff uncertainty [K]
# ecc             : orbital eccentricity (0 when not reported)
# ecc_errup/errdn : eccentricity uncertainty
# tau_e_Gyr       : eccentricity-damping timescale tau_e [Gyr] (Jackson et al. 2008),
#                   regime-dependent Q_p as in Fig 2: Q_p = 5e5 for q > 3e-4 (stellar
#                   tide added for q > 2e-3), Q_p = 5.4e3 for 5e-5 < q <= 3e-4,
#                   Q_p = 100 for q <= 5e-5
# tau_e_errup/errdn : tau_e uncertainty from a 20000-draw Monte-Carlo propagation of
#                   Mp, M*, Rp, R*, P and the tidal Q_p (log-normal, 0.3 dex ~ factor 2,
#                   matching Kawai+2025); 16th/84th percentiles. Age is not folded in
#                   here (this is absolute tau_e; age is a separate column).
# age_Gyr         : stellar age [Gyr] (catalog value; TRAPPIST-1 from Burgasser &
#                   Mamajek 2017); empty when unavailable
# age_errup/errdn : stellar age uncertainty [Gyr]
# binary          : Y = has stellar companion(s), excluded from the statistical
#                   tests (shown in figures only); N = single star
System,q,q_errup,q_errdn,af_Rp,af_Rp_errup,af_Rp_errdn,abs_lambda_deg,lambda_errup,lambda_errdn,Teff_K,Teff_errup,Teff_errdn,ecc,ecc_errup,ecc_errdn,tau_e_Gyr,tau_e_errup,tau_e_errdn,age_Gyr,age_errup,age_errdn,binary
AU Mic b,1.021e-04,3.07e-05,3.07e-05,380.1,17.6,17.6,5.0,16.0,15.0,3540,120,110,0.006,0.001,0.001,1.019e+01,1.13e+01,6.08e+00,0.022,0.003,0.003,N
AU Mic c,8.169e-05,6.87e-05,6.87e-05,814.7,43.4,43.4,68.0,32.0,49.0,3540,120,110,0.003,0.002,0.002,8.209e+02,1.19e+03,8.21e+02,0.022,0.003,0.003,N
CoRoT-11 b,2.036e-03,4.36e-04,4.13e-04,49.0,6.2,3.5,0.1,2.6,2.6,6650,200,200,0.18,0.074,0.059,2.518e-02,2.85e-02,1.56e-02,1,1.2,0.7,Y
CoRoT-2 b,3.522e-03,2.20e-04,2.25e-04,40.7,0.7,0.6,32.9,5.7,5.8,5610,110,110,0.028,0.028,0.019,8.545e-03,8.12e-03,4.30e-03,3.5,2.7,2.2,Y
CoRoT-3 b,1.541e-02,1.11e-03,1.14e-03,111.3,10.4,7.4,9.0,20.0,20.0,6200,140,130,0.025,0.022,0.016,1.241e+01,1.10e+01,6.60e+00,2.7,1.1,1.1,N
CoRoT-36 b,5.269e-04,4.84e-04,2.98e-04,74.9,4.9,2.7,48.0,17.0,14.0,6700,130,120,0.0,0.0,0.0,8.633e-02,1.23e-01,8.19e-02,1.65,0.34,0.31,N
EPIC 219388192 b,3.507e-02,2.53e-03,3.04e-03,136.7,3.7,3.4,0.6,4.6,4.2,5470,110,100,0.191,0.002,0.002,1.115e+02,8.11e+01,5.17e+01,7.5,4.2,4.7,N
GJ 3470 b,7.096e-05,5.65e-06,5.50e-06,209.6,3.9,4.0,100.0,18.0,11.0,3620,59,57,0.108,0.039,0.037,1.508e-01,1.48e-01,7.57e-02,7.5,4.3,4.9,N
GJ 436 b,1.464e-04,9.41e-06,9.62e-06,170.8,5.1,4.7,111.0,17.0,20.0,3489,51,51,0.132,0.01,0.01,9.121e-02,9.09e-02,4.55e-02,7.4,4.5,5.2,N
GJ 9827 c,9.516e-06,2.44e-06,2.45e-06,758.5,16.9,16.9,21.0,44.0,43.0,4236,12,12,0.0,0.0,0.0,2.157e-02,2.24e-02,1.16e-02,5.46,4.06,4.06,N
