#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
baseline_offset_rv_n20160707.APF.RV,-0.000555983770082172,0.00037010355254861243,0.0003728523380301398,$\gamma_{\rm n20160707.APF.RV}$,km/s
jittervar_rv_n20160707.APF.RV,1.1889519795615624e-05,1.8558838835446366e-06,2.2248629551085228e-06,$\sigma^2_{\rm jit;n20160707.APF.RV}$,km2/s2
baseline_offset_rv_n20160709.HARPS-N.RV,19.37031362896649,0.00017627138350206906,0.00017709163224921554,$\gamma_{\rm n20160709.HARPS-N.RV}$,km/s
jittervar_rv_n20160709.HARPS-N.RV,1.9997603100676078e-06,3.4396789911895215e-07,4.126805877098012e-07,$\sigma^2_{\rm jit;n20160709.HARPS-N.RV}$,km2/s2
baseline_offset_rv_n20160710.HIRES.RV,-0.0008816453593687841,0.00046340303357461524,0.0004665162201731248,$\gamma_{\rm n20160710.HIRES.RV}$,km/s
jittervar_rv_n20160710.HIRES.RV,1.1103457257041874e-05,2.1630070474794292e-06,2.7809362967696644e-06,$\sigma^2_{\rm jit;n20160710.HIRES.RV}$,km2/s2
baseline_offset_rv_n20160719.HARPS.RV,19.523681341249564,0.00034382140571409536,0.00034770297351016666,$\gamma_{\rm n20160719.HARPS.RV}$,km/s
jittervar_rv_n20160719.HARPS.RV,2.7964915572409855e-06,7.59321448447778e-07,1.0425754183606539e-06,$\sigma^2_{\rm jit;n20160719.HARPS.RV}$,km2/s2
baseline_offset_rv_n20161002.HARPS-N_RM.RV,19.5318255803818,0.0003622463884589422,0.00035953193328097655,$\gamma_{\rm n20161002.HARPS-N.RM.RV}$,km/s
jittervar_rv_n20161002.HARPS-N_RM.RV,4.049025087378759e-08,1.3862975584777172e-07,2.0097409761849863e-07,$\sigma^2_{\rm jit;n20161002.HARPS-N.RM.RV}$,km2/s2
baseline_offset_rv_n20171123.HARPS-N1_RM.RV,19.53233907574703,0.0006321178874735267,0.0005837679051303724,$\gamma_{\rm n20171123.HARPS-N1.RM.RV}$,km/s
jittervar_rv_n20171123.HARPS-N1_RM.RV,9.437447889664753e-07,4.988966540805917e-07,7.938870929520481e-07,$\sigma^2_{\rm jit;n20171123.HARPS-N1.RM.RV}$,km2/s2
b_rr,0.017756435990253592,0.0004138681917953829,0.0004236748330531566,$R_{b/R.\star}$,
b_cosi,0.1332402630807348,0.010157360500294546,0.009390846134430642,$\cos i_b$,
b_epoch,2457394.3743662457,0.0003405730240046978,0.00033714156597852707,$t_0$,BJD_TDB
b_period,0.9596549993964985,2.40186945110743e-07,2.4539265408574096e-07,$P_b$,d
b_K,0.0034169597838566625,0.00015059105419855346,0.00015229618614771498,$K_b$,km/s
b_f_c,0.0054150026380253395,0.03224099906642959,0.03171558011927113,$\sqrt{e}\cos\omega$,
b_f_s,-0.48887124902813206,0.04775354954002686,0.05511402658305126,$\sqrt{e}\sin\omega$,
c_rr,0.02966257808448994,0.000715820904513987,0.0007185611627614844,$R_{c/R.\star}$,
c_cosi,0.010244960230034142,0.0036348332772732483,0.002391482247250259,$\cos i_c$,
c_epoch,2457394.9784202487,0.0007877908647060394,0.0008956277742981911,$t_0$,BJD_TDB
c_period,29.846280688332545,0.00012544454069640665,0.00014258675574652102,$P_c$,d
c_K,0.0026125838885014897,0.00019531406813123701,0.0001956251600130788,$K_c$,km/s
c_f_c,-0.08381137785272547,0.1080576491159081,0.12850397029763672,$\sqrt{e}\cos\omega$,
c_f_s,0.11551490541186216,0.19667064141138135,0.14847110600468721,$\sqrt{e}\sin\omega$,
d_epoch,2457745.388945835,0.07141134375706315,0.056855957955121994,$t_0$,BJD_TDB
d_period,8.404063700100988,0.002990066334129793,0.0037867776995579305,$P_d$,d
d_K,0.0017802013115152237,0.00018579612709043432,0.0001867707685096658,$K_d$,km/s
d_f_c,0.043700743167367974,0.16127432390998833,0.15346185939177653,$\sqrt{e}\cos\omega$,
d_f_s,0.1386353787976519,0.23749156050116188,0.2063788622989882,$\sqrt{e}\sin\omega$,
e_epoch,2457738.432000297,0.06869041221216321,0.06670399801805615,$t_0$,BJD_TDB
e_period,96.38524273368803,0.3599455992604135,0.3755007731818978,$P_e$,d
e_K,0.0014297180215739403,0.00021360079697485806,0.00022278292317232194,$K_e$,km/s
e_f_c,0.2742252701939397,0.17725928356863443,0.1226988907777346,$\sqrt{e}\cos\omega$,
e_f_s,0.2367126603044732,0.2793863966083021,0.20468647076538266,$\sqrt{e}\sin\omega$,
dil_n20161031.Spit45.Spit.Tran,0.0483247683251142,0.029380610659218702,0.03555864092005016,$\delta_{\rm n20161031.Spit45.Spit.Tran}$,
dil_n20180521.G141.HST_WFC3_G141.Tran,0.501722549741762,0.3389629004759703,0.3375359564163566,$\delta_{\rm n20180521.G141.HST.WFC3.G141.Tran}$,
dil_n20180522.G141.HST_WFC3_G141.Tran,0.5061779497114449,0.34180309818619525,0.335757157855764,$\delta_{\rm n20180522.G141.HST.WFC3.G141.Tran}$,
dil_n20180720.G141.HST_WFC3_G141.Tran,0.4969638923308455,0.3373352831245193,0.34005779192487096,$\delta_{\rm n20180720.G141.HST.WFC3.G141.Tran}$,
