# COLUMN pl_defaultname: NEA-style planet name (host + letter, e.g., "HAT-P-11 b")
# COLUMN hostname: Host star name
# COLUMN tic_id: TESS Input Catalog ID (e.g., "TIC 350020859")
# COLUMN pl_letter: Planet letter (b, c, ...)
# COLUMN pl_orbper: Orbital period [days]
# COLUMN pl_orbpererr1: Orbital period upper unc. [days]
# COLUMN pl_orbpererr2: Orbital period lower unc. [days]
# COLUMN pl_tranmid: Transit mid-time [BJD]
# COLUMN pl_tranmiderr1: Transit mid-time upper unc. [days]
# COLUMN pl_tranmiderr2: Transit mid-time lower unc. [days]
# COLUMN pl_tsystemref: Time system for transit mid-time (BJD_TDB)
# COLUMN pl_orbsmax: Orbital semi-major axis [AU]
# COLUMN pl_orbsmaxerr1: Semi-major axis upper unc. [AU]
# COLUMN pl_orbsmaxerr2: Semi-major axis lower unc. [AU]
# COLUMN pl_orbeccen: Orbital eccentricity (free only if a non-RM RV instrument is present and f_c/f_s float)
# COLUMN pl_orbeccenerr1: Eccentricity upper unc.
# COLUMN pl_orbeccenerr2: Eccentricity lower unc.
# COLUMN pl_orblper: Argument of periastron [deg] (reported when eccentricity is free)
# COLUMN pl_orblpererr1: Argument of periastron upper unc. [deg]
# COLUMN pl_orblpererr2: Argument of periastron lower unc. [deg]
# COLUMN pl_orbincl: Orbital inclination [deg]
# COLUMN pl_orbinclerr1: Inclination upper unc. [deg]
# COLUMN pl_orbinclerr2: Inclination lower unc. [deg]
# COLUMN pl_imppar: Impact parameter
# COLUMN pl_impparerr1: Impact parameter upper unc.
# COLUMN pl_impparerr2: Impact parameter lower unc.
# COLUMN pl_radj: Planet radius [R_Jup]
# COLUMN pl_radjerr1: Planet radius upper unc. [R_Jup]
# COLUMN pl_radjerr2: Planet radius lower unc. [R_Jup]
# COLUMN pl_massj: Planet mass [M_Jup] (reported for transiting planets with non-RM RV and free K)
# COLUMN pl_massjerr1: Planet mass upper unc. [M_Jup]
# COLUMN pl_massjerr2: Planet mass lower unc. [M_Jup]
# COLUMN pl_msinij: Minimum mass m sin i [M_Jup] (used in lieu of pl_massj for non-transiting planets)
# COLUMN pl_msinijerr1: m sin i upper unc. [M_Jup]
# COLUMN pl_msinijerr2: m sin i lower unc. [M_Jup]
# COLUMN pl_trandep: Transit depth [%] (allesfast ppt / 10)
# COLUMN pl_trandeperr1: Transit depth upper unc. [%]
# COLUMN pl_trandeperr2: Transit depth lower unc. [%]
# COLUMN pl_trandur: Transit duration T_14 [hours]
# COLUMN pl_trandurerr1: Transit duration upper unc. [hours]
# COLUMN pl_trandurerr2: Transit duration lower unc. [hours]
# COLUMN pl_ratdor: a / R*
# COLUMN pl_ratdorerr1: a / R* upper unc.
# COLUMN pl_ratdorerr2: a / R* lower unc.
# COLUMN pl_ratror: Rp / R*
# COLUMN pl_ratrorerr1: Rp / R* upper unc.
# COLUMN pl_ratrorerr2: Rp / R* lower unc.
# COLUMN pl_rvamp: RV semi-amplitude K [m/s]
# COLUMN pl_rvamperr1: K upper unc. [m/s]
# COLUMN pl_rvamperr2: K lower unc. [m/s]
# COLUMN pl_eqt: Equilibrium temperature [K]
# COLUMN pl_eqterr1: T_eq upper unc. [K]
# COLUMN pl_eqterr2: T_eq lower unc. [K]
# COLUMN pl_projobliq: Sky-projected obliquity lambda [deg]
# COLUMN pl_projobliqerr1: lambda upper unc. [deg]
# COLUMN pl_projobliqerr2: lambda lower unc. [deg]
# COLUMN pl_trueobliq: True obliquity psi [deg] (reserved; empty unless derived)
# COLUMN pl_trueobliqerr1: psi upper unc. [deg]
# COLUMN pl_trueobliqerr2: psi lower unc. [deg]
# COLUMN rm_snr_combined: Combined matched-filter RM SNR following Kipping (2024); per-dataset SNR = sqrt(Delta chi^2) (with vs. without RM signal, using effective error sqrt(err^2 + jitter)); multiple RM datasets combined in quadrature
# COLUMN st_name: Star name (same as hostname)
# COLUMN host_star_flag: Always 1 (this row is the host star)
# COLUMN st_refname: Reference / publication identifier (placeholder "999" until assigned)
# COLUMN st_teff: Effective temperature T_eff [K]
# COLUMN st_tefferr1: T_eff upper unc. [K]
# COLUMN st_tefferr2: T_eff lower unc. [K]
# COLUMN st_rad: Stellar radius R* [R_Sun]
# COLUMN st_raderr1: R* upper unc. [R_Sun]
# COLUMN st_raderr2: R* lower unc. [R_Sun]
# COLUMN st_mass: Stellar mass M* [M_Sun]
# COLUMN st_masserr1: M* upper unc. [M_Sun]
# COLUMN st_masserr2: M* lower unc. [M_Sun]
# COLUMN st_met: Metallicity [Fe/H] [dex] (sigma floor 0.08 dex)
# COLUMN st_meterr1: Metallicity upper unc. [dex]
# COLUMN st_meterr2: Metallicity lower unc. [dex]
# COLUMN st_metratio: Metallicity convention (always "[Fe/H]")
# COLUMN st_logg: Surface gravity log g* [cgs]
# COLUMN st_loggerr1: log g* upper unc. [cgs]
# COLUMN st_loggerr2: log g* lower unc. [cgs]
# COLUMN st_age: Stellar age [Gyr]
# COLUMN st_ageerr1: Age upper unc. [Gyr]
# COLUMN st_ageerr2: Age lower unc. [Gyr]
# COLUMN st_vsin: Projected rotation velocity v sin i* [km/s]
# COLUMN st_vsinerr1: v sin i* upper unc. [km/s]
# COLUMN st_vsinerr2: v sin i* lower unc. [km/s]
# COLUMN rv_flag: 1 if any RV data is present in the fit, else 0
# COLUMN tran_flag: 1 if any photometry is fit, else 0
# COLUMN peak_prob: For bimodal A_mstar systems: probability mass under this row's stellar-mass mode (Major row > Minor); 1.0 for single-mode systems
# COLUMN BinaryMultiStarFlag: Y if SOCat (May16SoCat.csv) lists any binary/multi-star indicator for this host TIC, else N
#
pl_defaultname,hostname,tic_id,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tsystemref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,rm_snr_combined,st_name,host_star_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_vsin,st_vsinerr1,st_vsinerr2,rv_flag,tran_flag,peak_prob,BinaryMultiStarFlag
55 Cnc e,55 Cnc,TIC 332064670,e,0.73654661,0.00000015,-0.00000015,2454010.2211,0.0012,-0.0011,BJD_TDB,0.01538,0.00040,-0.00045,0.031,0.022,-0.020,80,56,-37,87.6,1.8,-2.6,0.15,0.15,-0.11,0.1593,0.0018,-0.0017,0.0281,0.0011,-0.0008,,,,0.03853,0.00051,-0.00045,1.552,0.015,-0.015,3.59,0.09,-0.10,0.01775,0.00020,-0.00019,6.17,0.19,-0.20,1800,27,-23,16,52,-63,,,,10.43,55 Cnc,1,999,5253,67,-70,0.937,0.026,-0.022,0.933,0.049,-0.039,0.334,0.075,-0.076,[Fe/H],4.466,0.026,-0.029,7.8,3.8,-4.0,1.5,1.2,-0.7,1,1,1.0,Y
CoRoT-11 b,CoRoT-11,TIC 110178537,b,2.99427902,0.00000049,-0.00000046,2454690.50245,0.00048,-0.00055,BJD_TDB,0.0450,0.0018,-0.0021,0.180,0.074,-0.059,90,36,-36,82.69,0.59,-0.84,0.744,0.026,-0.042,1.90,0.24,-0.13,2.89,0.60,-0.57,,,,1.95,0.58,-0.29,2.484,0.020,-0.016,6.91,0.27,-0.32,0.139,0.017,-0.009,332,66,-64,1650,40,-32,,,,,,,,CoRoT-11,1,999,6650,200,-200,1.403,0.059,-0.052,1.355,0.063,-0.070,0.041,0.072,-0.068,[Fe/H],4.278,0.036,-0.046,1.0,1.2,-0.7,,,,1,1,1.0,Y
CoRoT-18 b,CoRoT-18,TIC 37168957,b,1.90009067,0.00000031,-0.00000031,2455321.72444,0.00016,-0.00016,BJD_TDB,0.02933,0.00058,-0.00062,0.015,0.018,-0.010,200,90,-130,89.27,0.52,-0.85,0.09,0.10,-0.07,1.370,0.059,-0.042,3.37,0.13,-0.13,,,,2.97,0.24,-0.17,2.376,0.025,-0.023,7.09,0.14,-0.15,0.1582,0.0068,-0.0048,583,18,-20,1371,15,-13,-21,88,-55,,,,1.43,CoRoT-18,1,999,5633,100,-96,0.892,0.021,-0.020,0.938,0.043,-0.047,-0.010,0.071,-0.070,[Fe/H],4.510,0.019,-0.022,3.3,3.5,-2.2,7,14,-4,1,1,1.0,N
CoRoT-19 b,CoRoT-19,TIC 42821097,b,3.8971363,0.0000011,-0.0000011,2455257.44283,0.00047,-0.00047,BJD_TDB,0.0518,0.0018,-0.0020,0.035,0.040,-0.025,250,60,-200,88.3,1.1,-1.2,0.21,0.14,-0.14,1.226,0.013,-0.013,1.193,0.086,-0.081,,,,0.678,0.011,-0.012,4.653,0.040,-0.035,6.86,0.24,-0.27,0.07758,0.00083,-0.00083,129.8,8.4,-8.0,1459,29,-25,-25,95,-64,,,,0.76,CoRoT-19,1,999,5900,120,-110,1.630,0.054,-0.053,1.25,0.07,-0.12,0.199,0.076,-0.079,[Fe/H],4.107,0.034,-0.045,4.6,2.7,-1.2,5.97,0.99,-0.99,1,1,1.0,N
CoRoT-2 b,CoRoT-2,TIC 391958006,b,1.742995499,0.000000040,-0.000000040,2456114.746771,0.000044,-0.000044,BJD_TDB,0.02746,0.00045,-0.00051,0.028,0.028,-0.019,167,66,-80,88.03,0.20,-0.19,0.230,0.019,-0.023,1.455,0.013,-0.010,3.45,0.16,-0.16,,,,3.348,0.065,-0.046,2.2799,0.0023,-0.0023,6.71,0.11,-0.13,0.1699,0.0015,-0.0011,609,30,-29,1375,13,-11,32.9,5.7,-5.8,,,,18.91,CoRoT-2,1,999,5610,110,-110,0.889,0.019,-0.018,0.935,0.041,-0.039,0.040,0.065,-0.059,[Fe/H],4.512,0.017,-0.018,3.5,2.7,-2.2,10.08,0.66,-0.62,1,1,1.0,Y
CoRoT-36 b,CoRoT-36,TIC 405004589,b,5.616814,0.000042,-0.000042,2455662.52405,0.00034,-0.00034,BJD_TDB,0.0764,0.0022,-0.0017,,,,,,,85.83,0.39,-0.30,0.573,0.028,-0.038,2.04,0.13,-0.07,0.85,0.78,-0.48,,,,1.09,0.15,-0.08,5.138,0.024,-0.023,7.89,0.23,-0.18,0.1009,0.0062,-0.0036,79,72,-44,1501,17,-21,-48,14,-17,,,,4.61,CoRoT-36,1,999,6700,130,-120,1.944,0.046,-0.052,1.540,0.061,-0.060,-0.012,0.082,-0.088,[Fe/H],4.047,0.027,-0.021,1.65,0.34,-0.31,25.59,0.50,-0.49,1,1,1.0,N
CoRoT-3 b,CoRoT-3,TIC 392353449,b,4.2568035,0.0000034,-0.0000031,2454283.14202,0.00026,-0.00026,BJD_TDB,0.0558,0.0027,-0.0024,0.025,0.022,-0.016,120,48,-22,85.47,0.64,-0.56,0.588,0.044,-0.059,1.09,0.10,-0.07,21.7,1.1,-1.1,,,,0.54,0.11,-0.07,3.769,0.034,-0.033,7.61,0.37,-0.33,0.0708,0.0065,-0.0043,2169,42,-44,1580,35,-37,-9,20,-20,,,,3.01,CoRoT-3,1,999,6200,140,-130,1.602,0.064,-0.066,1.344,0.072,-0.069,0.145,0.079,-0.077,[Fe/H],4.156,0.045,-0.042,2.7,1.1,-1.1,17.06,0.99,-0.99,1,1,1.0,N
DSTucA b,DSTucA,TIC 410214986,b,8.1382135,0.0000017,-0.0000017,2458332.31048,0.00030,-0.00029,BJD_TDB,0.0882,0.0029,-0.0033,,,,,,,89.21,0.52,-0.36,0.28,0.11,-0.18,0.5331,0.0061,-0.0052,,,,,,,0.3889,0.0046,-0.0045,3.156,0.016,-0.015,20.14,0.65,-0.76,0.05816,0.00066,-0.00057,1900,1600,-1300,799,16,-13,-1.9,3.5,-5.1,,,,144.62,DSTucA,1,999,5820,90,-100,0.833,0.032,-0.024,0.959,0.032,-0.033,-0.009,0.071,-0.070,[Fe/H],4.577,0.029,-0.035,0.8,1.6,-0.6,16.81,0.56,-0.51,1,1,1.0,Y
EPIC 219388192 b,EPIC 219388192,TIC 130633912,b,5.2926340,0.0000018,-0.0000018,2457341.03714,0.00039,-0.00039,BJD_TDB,0.0586,0.0032,-0.0027,0.1913,0.0019,-0.0019,346.40,0.52,-0.47,87.97,0.67,-0.48,0.44,0.08,-0.13,0.887,0.014,-0.016,35.6,1.8,-2.0,,,,0.913,0.012,-0.014,3.340,0.043,-0.041,12.39,0.67,-0.56,0.0895,0.0014,-0.0016,4272,11,-12,1006,24,-26,-0.6,4.2,-4.6,,,,30.22,EPIC 219388192,1,999,5470,110,-100,1.021,0.041,-0.040,0.969,0.064,-0.050,0.161,0.076,-0.078,[Fe/H],4.406,0.054,-0.045,7.5,4.2,-4.7,4.60,0.22,-0.21,1,1,1.0,N
GJ 3470 b,GJ 3470,TIC 19028197,b,3.33665189,0.00000018,-0.00000018,2455983.70450,0.00018,-0.00017,BJD_TDB,0.03396,0.00097,-0.00094,0.108,0.039,-0.037,256,11,-15,88.90,0.50,-0.30,0.32,0.09,-0.15,0.3559,0.0041,-0.0039,0.0391,0.0025,-0.0025,,,,0.630,0.040,-0.030,1.911,0.014,-0.016,15.18,0.43,-0.42,0.07601,0.00086,-0.00084,8.13,0.47,-0.47,624.8,8.9,-8.8,100,18,-11,,,,3.00,GJ 3470,1,999,3620,59,-57,0.500,0.017,-0.017,0.526,0.023,-0.025,0.129,0.084,-0.081,[Fe/H],4.761,0.024,-0.024,7.5,4.3,-4.9,0.66,0.48,-0.33,1,1,1.0,N
