name,instru_official,telescope,ref_paper,n
55 Cnc e,LICK,Lick/Levy 2.4-m,2018A&A...619A...1B,290
55 Cnc e,TULL,McDonald 2.7-m,2018A&A...619A...1B,142
55 Cnc e,KECK,Keck I 10-m,2018A&A...619A...1B,216
55 Cnc e,HRS,HET 10-m,2018A&A...619A...1B,63
55 Cnc e,HARPS,ESO La Silla 3.6-m,2018A&A...619A...1B,12
55 Cnc e,SOPHIE,OHP 1.93-m,2018A&A...619A...1B,38
55 Cnc e,HARPN,TNG 3.6-m,2018A&A...619A...1B,22
55 Cnc e,EXPRES1_RM,Lowell 4.3-m,2023NatAs...7..198Z,28
55 Cnc e,EXPRES_RM,Lowell 4.3-m,2023NatAs...7..198Z,27
CoRoT-11,HARPS_EGGS_RM,ESO La Silla 3.6-m,2010A&A...524A..55G,5
CoRoT-11,HIRES,Keck I 10-m,2010A&A...524A..55G,5
CoRoT-11,HARPS_Standard,ESO La Silla 3.6-m,2010A&A...524A..55G,7
CoRoT-18,SOPHIE,OHP 1.93-m,2011A%26A...533A.130H,11
CoRoT-18,HARPS,ESO La Silla 3.6-m,2011A%26A...533A.130H,6
CoRoT-18,FIES,NOT 2.56-m,2011A%26A...533A.130H,5
CoRoT-18,HARPSEGGS_RM,ESO La Silla 3.6-m,2011A%26A...533A.130H,12
CoRoT-19,SOPHIE,OHP 1.93-m,2012A%26A...537A.136G,7
CoRoT-19,FIES,NOT 2.56-m,2012A%26A...537A.136G,5
CoRoT-19,SANDIFORD5,McDonald 2.1-m,2012A%26A...537A.136G,2
CoRoT-19,HARPS,ESO La Silla 3.6-m,2012A%26A...537A.136G,9
CoRoT-19,HARPS1_RM,ESO La Silla 3.6-m,2012A%26A...537A.136G,4
CoRoT-19,HARPS_RM,ESO La Silla 3.6-m,2012A%26A...537A.136G,5
CoRoT-36,HARPS,ESO La Silla 3.6-m,2022MNRAS.516..636S,6
CoRoT-36,FIES,NOT 2.56-m,2022MNRAS.516..636S,11
CoRoT-36,SANDIFORD,McDonald 2.1-m,2022MNRAS.516..636S,3
CoRoT-36,FIES_RM,NOT 2.56-m,2022MNRAS.516..636S,17
CoRoT-36,UVES_RM,VLT 8.2-m,2022MNRAS.516..636S,11
CoRoT-3,SOPHIE,OHP 1.93-m,2008A&A...491..889D,7
CoRoT-3,CORALIE,Euler 1.2-m,2008A&A...491..889D,18
CoRoT-3,TLS,Thüringer 2-m,2008A&A...491..889D,3
CoRoT-3,HARPS,ESO La Silla 3.6-m,2009A+A...506..377T,3
CoRoT-3,SANDIFORD,McDonald 2.1-m,2008A&A...491..889D,3
CoRoT-3,HARPS_RM,ESO La Silla 3.6-m,2009A+A...506..377T,11
DSTucA,HARPS_RM,ESO La Silla 3.6-m,2021A&A...650A..66B,30
DSTucA,PFS_RM,Magellan 6.5-m,2021A&A...650A..66B,49
DSTucA,EPS_RM,Multiple,2021A&A...650A..66B,63
EPIC 219388192,FIES,NOT 2.56-m,2017AJ....153..131N,9
EPIC 219388192,Tull,HJS 2.7-m,2017AJ....153..131N,3
EPIC 219388192,HARPS_RM,ESO La Silla 3.6-m,2025arXiv250520516Z,24
EPIC 219388192,KPF_RM,Keck I 10-m,2025arXiv250618971C,29
GJ 3470,HARPS,ESO La Silla 3.6-m,2022ApJ...931L..15S,95
GJ 3470,HIRES,Keck I 10-m,2022ApJ...931L..15S,56
GJ 3470,HPS,HET 10-m,2022ApJ...931L..15S,9
GJ 3470,NEID_RM,WIYN 3.5-m,2022ApJ...931L..15S,25
GJ 3470,NEID1_RM,WIYN 3.5-m,2022ApJ...931L..15S,23
GJ 436,HIRESPRE04,Keck I 10-m,2021ApJS..255....8R,71
GJ 436,HIRESPOST04,Keck I 10-m,2021ApJS..255....8R,274
GJ 436,ESP_RM,ESO VLT 8.2-m,2022A&A...663A.160B,49
GJ 436,ESP1_RM,ESO VLT 8.2-m,2022A&A...663A.160B,49
GPX-1,SOPHIE,OHP 1.93-m,2021MNRAS.505.4956B,16
HAT-P-11,HIRES,Keck I 10-m,2010ApJ...723L.223W;2010ApJ...710.1724B,143
HAT-P-11,HDS_RM,Subaru 8.2-m,2011PASJ...63S.531H,26
HAT-P-11,HIRES_RM,Keck I 10-m,2010ApJ...723L.223W;2010ApJ...710.1724B,32
HAT-P-11,HDS_RM,Subaru 8.2-m,2011PASJ...63S.531H,12
HAT-P-11,HIRES1_RM,Keck I 10-m,2010ApJ...723L.223W;2010ApJ...710.1724B,70
HAT-P-12,HIRES,Keck I 10-m,2009ApJ...706..785H,21
HAT-P-12,HARPSN1_RM,TNG 3.6-m,2018A%26A...613A..41M,17
