name,mission,instrument,band,sector,date,ref_paper
55_Cnc_e,TESS,SPOC,TESS,,,
55_Cnc_e,TESS,SPOC,TESS,,,
55_Cnc_e,TESS,SPOC,TESS,,,
CoRoT-11_b,CoRoT,CoRoT,white,,,
CoRoT-11_b,TESS,SPOC,TESS,,,
CoRoT-18_b,CoRoT,CoRoT,white,,,
CoRoT-18_b,TESS,SPOC,TESS,,,
CoRoT-18_b,TESS,SPOC,TESS,,,
CoRoT-19_b,CoRoT,CoRoT,white,,,
CoRoT-19_b,TESS,SPOC,TESS,,,
CoRoT-19_b,TESS,SPOC,TESS,,,
CoRoT-36_b,CoRoT,CoRoT,white,,,
CoRoT-3_b,CoRoT,CoRoT,white,,,
CoRoT-3_b,TESS,SPOC,TESS,,,
DSTucA_b,TESS,SPOC,TESS,,,
DSTucA_b,TESS,SPOC,TESS,,,
DSTucA_b,TESS,SPOC,TESS,,,
EPIC_219388192_b,Kepler/K2,Kepler1800,Kepler,,,
GJ_3470_b,Ground,TRAPPIST,Iz,,2012-02-26,2012A&A...546A..27B
GJ_3470_b,Ground,TRAPPIST,Iz,,2012-03-07,2012A&A...546A..27B
GJ_3470_b,Ground,EulerCam,R,,2012-03-07,2012A&A...546A..27B
GJ_3470_b,Ground,MITSuME,I,,2012-11-15,2013ApJ...770...95F
GJ_3470_b,Ground,ISLE,J,,2012-11-15,2013ApJ...770...95F
GJ_3470_b,Ground,MITSuME,R,,2012-11-15,2013ApJ...770...95F
GJ_3470_b,Ground,LBC,F972N20,,2013-02-17,2013A&A...559A..32N
GJ_3470_b,Ground,LBC,U,,2013-02-17,2013A&A...559A..32N
GJ_3470_b,TESS,SPOC,TESS,,,
GJ_3470_b,TESS,SPOC,TESS,,,
GJ_436_b,Ground,CCD camera,V,,2005-01-11,2008ApJ_689L_149C
GJ_436_b,Ground,CCD camera,V,,2007-05-02,2007A_A_472L_13G
GJ_436_b,Ground,Wise 1m,V,,2007-05-04,2009ApJ...694.1559S
GJ_436_b,Ground,CCD camera,B,,2007-05-10,2007A_A_472L_13G
GJ_436_b,Ground,FLWO 1.2m,z,,2007-05-23,2009ApJ...694.1559S
GJ_436_b,Ground,Wise 1m,R,,2007-05-25,2009ApJ...694.1559S
