name,TIC,feh,feh_err,ads_id,vsini,vsini_err,vsini_ref,Av,Av_err,Av_type
WASP-18,TIC 100100827,0.22,0.03,2021A&A...656A..53S,11.0,1.5,2017A&A...602A.107B,0.0554234,0,upper_limit
HAT-P-14,TIC 101721385,0.11,0.03,2021A&A...656A..53S,8.4,0.5,2017A&A...602A.107B,0.134034,0.0798021,gaussian
WASP-174,TIC 102192004,0.3,0.04,2021A&A...656A..53S,16.5,0.5,2018MNRAS.480.5307T,0.389582,0,upper_limit
WASP-47,TIC 102264230,0.41,0.04,2021A&A...656A..53S,0.0,2.0,2015ApJ...812L..11S,0.0242393,0.0254403,gaussian
CoRoT-11,TIC 110178537,0.04,0.03,2021A&A...656A..53S,40.0,5.0,2017A&A...602A.107B,0.581743,0.114409,gaussian
K2-139,TIC 11023038,0.24,0.03,2021A&A...656A..53S,2.8,0.6,2018MNRAS.475.1765B,0,0,fixed
WASP-15,TIC 111991770,0.01,0.02,2021A&A...656A..53S,4.0,2.0,2017A&A...602A.107B,0.0969571,0.0247525,gaussian
WASP-77A,TIC 1129033,0.01,0.01,2021A&A...656A..53S,2.6,0.2,2024A&A...686A.147Z,0,0,fixed
WASP-190,TIC 116156517,0.15,0.04,2021A&A...656A..53S,13.8,0.7,2019AJ....157..141T,0.0703917,0,upper_limit
Kepler-1656,TIC 120255950,0.19,0.04,2021A&A...656A..53S,2.8,1.0,2018AJ....156..147B,0,0,fixed
WASP-45,TIC 120610833,0.42,0.03,2021A&A...656A..53S,2.3,0.7,2012MNRAS.422.1988A,0.0542097,0,upper_limit
TrES-1,TIC 120757718,0.06,0.02,2021A&A...656A..53S,1.3,0.3,2017A&A...602A.107B,0,0.00111369,gaussian
Kepler-25,TIC 120960812,0.01,0.03,2021A&A...656A..53S,9.0,1.0,2017AJ....154..107P,0,0.0174523,gaussian
WASP-72,TIC 122612091,0.15,0.03,2021A&A...656A..53S,6.0,0.7,2017A&A...602A.107B,0.0484786,0.0242393,gaussian
Kepler-8,TIC 123233041,-0.08,0.04,2021A&A...656A..53S,10.0,1.0,2017AJ....154..107P,0.193914,0.0484786,gaussian
NGTS-2,TIC 125739286,0.01,0.079,2021A&A...656A..53S,15.2,0.8,2018MNRAS.481.4960R,0.270239,0,upper_limit
WASP-44,TIC 12862099,0.21,0.03,2021A&A...656A..53S,3.2,0.9,2012MNRAS.422.1988A,0,0.0174523,gaussian
WASP-33,TIC 129979528,0.1,0.2,2021A&A...656A..53S,90.0,10.0,2010MNRAS.407..507C,0,0.0038955,gaussian
HD 63433,TIC 130181866,0.0,0.02,2021A&A...656A..53S,7.76,0.1,2023A&A...671A.163M,0,0,fixed
WASP-61,TIC 13021029,0.07,0.05,2021A&A...656A..53S,10.3,0.5,2017A&A...602A.107B,0.169675,0.0242393,gaussian
HIP 33609,TIC 130415266,-0.26,0.61,2023AJ....165..268V,,,uniform prior,0.322426,0,upper_limit
EPIC 219388192,TIC 130633912,0.14,0.04,2021A&A...656A..53S,4.1,0.4,2017AJ....153..131N,0.0423779,0.0423779,gaussian
KELT-14,TIC 134537478,0.4,0.03,2021A&A...656A..53S,3.3,0.8,2016PASP..128f4401T,0.58417,0,upper_limit
XO-6,TIC 138168780,-0.07,0.1,2021A&A...656A..53S,44.2,3.0,2017AJ....153...94C,0,0.00872614,gaussian
HAT-P-4,TIC 138294130,0.34,0.02,2021A&A...656A..53S,5.5,0.5,2017A&A...602A.107B,0.0727178,0.0484786,gaussian
GJ 436,TIC 138819293,-0.08,0.11,2021A&A...656A..53S,,,uniform prior,0,0,fixed
WASP-78,TIC 139528693,-0.1,0.04,2021A&A...656A..53S,7.2,0.8,2017A&A...602A.107B,0.0242393,0.00872614,gaussian
TOI-4127,TIC 141488193,0.14,0.12,2023AJ....165..234G,7.7,0.5,2023AJ....165..234G,0.266632,0.0272836,gaussian
TOI-1268,TIC 142394656,0.25,0.25,2021A&A...656A..53S,4.12,1.0,2022A&A...662A.107S,0,0.00872614,gaussian
TOI-942,TIC 146520535,0.0,0.0,2021A&A...656A..53S,13.8,0.5,2021A&A...645A..71C,0,0,fixed
TOI-640,TIC 147977348,0.127,0.022,2021A&A...656A..53S,6.1,0.5,2021AJ....161..194R,0.381086,0,upper_limit
WASP-62,TIC 149603524,0.23,0.02,2021A&A...656A..53S,8.7,0.4,2017A&A...602A.107B,0.155752,0,upper_limit
WASP-120,TIC 152476657,0.15,0.07,2021A&A...656A..53S,15.1,1.2,2016PASP..128f4401T,0.0570416,0,upper_limit
WASP-87,TIC 15445551,-0.28,0.06,2021A&A...656A..53S,9.6,0.7,2014arXiv1410.3449A,0.631907,0,upper_limit
TOI-1135,TIC 154872375,-0.06,0.08,2025ApJ...994L..23D,9.7,4.3,2025ApJ...994L..23D,0,0,fixed
TOI-3714,TIC 155867025,0.1,0.1,2021A&A...656A..53S,2.0,999.0,2022AJ....164...50C,0,0,fixed
WASP-105,TIC 158623531,0.36,0.04,2021A&A...656A..53S,1.7,1.9,2017A&A...604A.110A,0.0950692,0,upper_limit
Kepler-420,TIC 159647910,0.22,0.04,2021A&A...656A..53S,3.0,1.0,2017AJ....154..107P,0.572843,0,upper_limit
