System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
55_Cnc_e,5172,18,18,n,n,72.4,12.7,11.5,-999,-999,-999,Bourrier &amp; H&eacute;brard (2014),Bourrier_&amp;_H&eacute;brard_(2014),2014A+A...569A..65B,https://ui.adsabs.harvard.edu/abs/2014A%26A...569A..65B,RM,Ohta+2005,e,TIC 332064670,Gaia DR3 704967037090946688,1065,1,Rice2024,0,SFN
55_Cnc_e,5172,18,18,y,y,10,17,20,23,14,12,Zhao et al. (2023),Zhao_et_al._(2023),2023NatAs...7..198Z,https://ui.adsabs.harvard.edu/abs/2023NatAs...7..198Z,RM,"Ohta+2005, ellc",e,TIC 332064670,Gaia DR3 704967037090946688,1065,1,Rice2024,0,SFN
AU_Mic_b,3540,120,110,y,n,-4.7,6.8,6.4,-999,-999,-999,Hirano et al. (2020),Hirano_et_al._(2020),2020ApJ...899L..13H,https://ui.adsabs.harvard.edu/abs/2020ApJ...899L..13H,DT,,b,TIC 441420236,Gaia DR3 6794047652729201024,,,,0,
AU_Mic_b,3540,120,110,n,n,-0.1,5.1,5,-999,-999,-999,Martioli et al. (2021),Martioli_et_al._(2021),2021A+A...649A.177M,https://ui.adsabs.harvard.edu/abs/2021A%26A...649A.177M,RM,Ohta+2005,b,TIC 441420236,Gaia DR3 6794047652729201024,,,,0,
AU_Mic_b,3540,120,110,n,n,-3,10.4,10.3,-999,-999,-999,Palle et al. (2020),Palle_et_al._(2020),2020A+A...643A..25P,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A..25P,RM,ARoME + Pya,b,TIC 441420236,Gaia DR3 6794047652729201024,,,,0,
AU_Mic_b,3540,120,110,n,y,5,16,15,-999,-999,-999,Addison et al. (2021),Addison_et_al._(2021),2021AJ....162..137A,https://ui.adsabs.harvard.edu/abs/2021AJ....162..137A,RM,Hirano+11,b,TIC 441420236,Gaia DR3 6794047652729201024,,,,0,
AU_Mic_c,3540,120,110,y,y,68,32,49,-999,-999,-999,Yu et al. (2025),Yu_et_al._(2025),2025MNRAS.536.2046Y,https://ui.adsabs.harvard.edu/abs/2025MNRAS.536.2046Y,RM,Boue+2013,c,TIC 441420236,Gaia DR3 6794047652729201024,,,,0,
CoRoT-01,5950,150,150,y,y,77,11,11,-999,-999,-999,Pont et al. (2010),Pont_et_al._(2010),2010MNRAS.402L...1P,https://ui.adsabs.harvard.edu/abs/2010MNRAS.402L...1P,RM,Ohta+2005,b,TIC 36352297,Gaia DR3 3105507886130792448,,,,1,
CoRoT-02,5598,50,50,y,n,7.2,4.5,4.5,-999,-999,-999,Bouchy et al. (2008),Bouchy_et_al._(2008),2008A+A...482L..25B,https://ui.adsabs.harvard.edu/abs/2008A%26A...482L..25B,RM,Ohta+2005,b,TIC 391958006,Gaia DR3 4287820848378092672,858,13,Rice2024,0,NG
CoRoT-02,5598,50,50,n,y,-1,6,7.7,-999,-999,-999,Czesla et al. (2012),Czesla_et_al._(2012),2012A+A...539A.150C,https://ui.adsabs.harvard.edu/abs/2012A%26A...539A.150C,RM,Ohta+2005,b,TIC 391958006,Gaia DR3 4287820848378092672,858,13,Rice2024,0,NG
